comment,Comment to English,Emoji to text
উত্তরা থেকে টঙ্গী রুটের কাজ কবে শুরু হবে???,When will the Tongi route work start from Uttara ???,When will the Tongi route work start from Uttara ???
উত্তরা থেকে মতিঝিল ১০০ টাকা ভাড়া হলে আমার মতে ভাড়া খুব বেশি হবে না,"If you rent 5 rupees from Uttara to Motijheel, in my opinion the rent will not be too high.","If you rent 5 rupees from Uttara to Motijheel, in my opinion the rent will not be too high."
উত্তরার আবাসিক এলাকার বসবাসকারীদের স্টেশনে যাওয়ার বাসের কোন ব্যবস্হা করা হয়নি কেন?,Why did the bus go to the residential area of ​​Uttara?,Why did the bus go to the residential area of ​​Uttara?
উন্নতির পরশ লেগে গেছে বাংলাদেশের গায়ে। ভাবতে ভালো লাগছে উন্নত দেশগুলির সাথে তাল মিলিয়ে আগামীর পথ চলব। আমার প্রিয় মাতৃভূমি।,Bangladesh has taken a long time. It is nice to think that the next path to the next is in line with the developed countries. My favorite homeland.,Bangladesh has taken a long time. It is nice to think that the next path to the next is in line with the developed countries. My favorite homeland.
উন্নয়ন,Development,Development
উন্নয়ন অগ্রগতি সমৃদ্ধি ও গণতান্ত্রিক ধারা অব্যাহত রাখতে দেশরত্ন জননেত্রী শেখ হাসিনার সরকার বারবার দরকার। জয় বাংলা জয় বঙ্গবন্ধু।,Sheikh Hasina's government is needed repeatedly to promote development progress and to continue the democratic trend. Joy Bangla Joy Bangabandhu.,Sheikh Hasina's government is needed repeatedly to promote development progress and to continue the democratic trend. Joy Bangla Joy Bangabandhu.
উন্নয়ন এর চোদনে হ্যারিটেজ বলে যে টার্ম আছে,Haritage in the development of development says that there is a term,Haritage in the development of development says that there is a term
উন্নয়ন দেখে খুব ভালো লাগলো,It was nice to see development,It was nice to see development
উন্নয়ন শুধু ঢাকায় ই হয়। অন্য জেলার মানুষের কোন চাহিদা নাই।,Development is only in Dhaka. There is no demand for the people of other districts.,Development is only in Dhaka. There is no demand for the people of other districts.
উন্নয়নের ধারা ধরে রাখতে এই সরকারের কোন বিকল্প নেই,There is no alternative to this government to retain the trend of development,There is no alternative to this government to retain the trend of development
উন্নয়নের নামে টাকা হরিলুট। চ্যানেল আই কে অনেক ধন্যবাদ,Harilut in the name of development. Thanks so much on Channel IK,Harilut in the name of development. Thanks so much on Channel IK
উন্নয়নের সাথে দ্রব্যমূল্যের দামের অনেক উন্নয়ন হয়েছে😂😂,There has been a lot of development in prices of goods with development,There has been a lot of development in prices of goods with development
উপভোগ্য এই ভ্রমন  পরিবহন ব্যবস্হার গৌরব হয়ে প্রবাহমান থাকুক শুভকামনা।,Best of luck to be flowing through the glory of this enjoyable transportation system.,Best of luck to be flowing through the glory of this enjoyable transportation system.
উপস্থাপনা ভালো করেছেন,The presentation has done well,The presentation has done well
উফ অসাধারণ। কবে যে বাংলাদেশ যাব। বাংলাদেশ সরকারকে অসংখ্য ধন্যবাদ। ঢাকাবাসীকে যানজট  জ্যামের হাত থেকে রক্ষা দেওয়ার জন্য। এটা যে শুধু মেট্রো রেলের জার্নি শুরু হল তা নয় সঙ্গে বিখ্যাত ঢাকা জ্যামের পরিসমাপ্তির জার্নি শুরু হল 😀😀😀,"Oops are awesome. When will I go to Bangladesh? Many thanks to the Government of Bangladesh. To protect the residents of Dhaka from the traffic jam. It is not just the Metro Rail Journey Starts, but also the journey of the famous Dhaka Jam ended.","Oops are awesome. When will I go to Bangladesh? Many thanks to the Government of Bangladesh. To protect the residents of Dhaka from the traffic jam. It is not just the Metro Rail Journey Starts, but also the journey of the famous Dhaka Jam ended."
ঋণের টাকায় ফুটানি,Lending money,Lending money
এ জন্য আমরা পথে ঘাটে হিসু করি বাতাসে সুবাস ছড়াই।,This is why we calculate the aroma in the air on the way.,This is why we calculate the aroma in the air on the way.
এ মেট্রোর দরকার নাই আমাদের,We don't need this metro,We don't need this metro
এই চাঁদাবাজির ভিতর আসলে কে জড়িত তাদেরকে খুঁজে বের করা উচিৎ,Should find out who actually engages in this extortion,Should find out who actually engages in this extortion
এই টুকু গরম সহ্য করতে পারে না!,This piece cannot tolerate the heat!,This piece cannot tolerate the heat!
এই দেশে অনিয়মই নিয়ম আর নিয়ম হচ্ছে অনিয়ম।,Irregularities in this country are the rules and rules of irregularities.,Irregularities in this country are the rules and rules of irregularities.
এই ধন্যবাদ প্রধানমন্ত্রী না দিলে নিজেকে আপরাধি মনে হবে।ধন্যবাদ মাননীয় প্রধানমন্ত্রী শেখ হাসিনা স্যারকে।পুরো কৃতিত্ব ই আপনার।জয় তু শেখ হাসিনা স্যার🌹🌹🌹,"Thanks to the Prime Minister, he will feel like herself. Thanks for the Honorable Prime Minister Sheikh Hasina Sir.","Thanks to the Prime Minister, he will feel like herself. Thanks for the Honorable Prime Minister Sheikh Hasina Sir."
এই বরাবর পথ,This is the way along,This is the way along
এই ভ্লগটি দেখলে ঘটি ভাইদের রাগ হবে এটাই স্বাভাবিক। কিন্ত তুমি এগিয়ে যাও ভাই। তোমার মতো সত্যবাদী ভ্লগার আরও অনেক দরকার।,It is only natural for the brothers to be angry when you see this vlog. But you go ahead brother. Truthful Vlogger like you needs more.,It is only natural for the brothers to be angry when you see this vlog. But you go ahead brother. Truthful Vlogger like you needs more.
এই মাথামোটা লোকটাকে সিঙ্গাপুরে নিয়ে আসা উচিত,This head should be brought to Singapore,This head should be brought to Singapore
এই মেট্রোরে জাদুঘরে রাখা উচিত পৃথিবীতে প্রথম তৈরি হয়েছে তো বাংলাদেশ মেট্রোরেল,"This Metro Museum should be kept in the world first, Bangladesh Metrorail","This Metro Museum should be kept in the world first, Bangladesh Metrorail"
এই মেট্রোরেলে চড়ে আমি অনেক আনন্দ পেয়েছি।,I got a lot of joy in this metroral riding.,I got a lot of joy in this metroral riding.
এই রকম আরো পাব্লিক ট্রান্সপোর্ট করা হোক।তাহলে যানজট অনেক কমে যাবে,More public transport like this. Then traffic will be greatly reduced.,More public transport like this. Then traffic will be greatly reduced.
এই সব কারনেই বিদেশিদের কাছে আমাদের বাঙ্গালীদের অনেক নাম আছে।।। 🥺,"For all these reasons, foreigners have many names of Bengalis. 🥺","For all these reasons, foreigners have many names of Bengalis. pleading face"
এই সরকারের বেস্ট কাজ পদ্মা সেতু আর মেট্রোরেল!!!,The best work of this government is Padma Bridge and Metrorail !!!,The best work of this government is Padma Bridge and Metrorail !!!
এইগুলা ক দেইখা মরতে পারবো? মনে হয়না।,Can I die? Don't think,Can I die? Don't think
এইটা রেল চলছে না,This is not the railway running,This is not the railway running
এইটাও মাটির নিচে দিয়ে করলে সবচেয়ে ভালো হবে।,It would also be best if you do it under the ground.,It would also be best if you do it under the ground.
এইসব উন্নয়ন নোয়াখালীতেও চাই,This development is also in Noakhali,This development is also in Noakhali
এক দিকে মেট্ররেল আরেক দিকে সড়ক দখল করে চাঁদাবাজি। উন্নয়নের নব নব সুচনা।,"On the one hand, the Metrorail occupied the road on the other. The new start of development.","On the one hand, the Metrorail occupied the road on the other. The new start of development."
একই সাথে কাজ শুরু হয় না কেন?,Why not start work at the same time?,Why not start work at the same time?
একজন বিদেশি বা শুধুমাত্র টিকিটের টাকা নিয়ে ঢুকলে সে কিভাবে কি করবে???,How do he do if a foreign or only gets ticket money ???,How do he do if a foreign or only gets ticket money ???
একজন মানুষ হিসেবে আমি এই কৃতিত্ব বাংলাদেশ সরকারের মাননীয় প্রধানমন্ত্রী জননেত্রী দেশরত্ন শেখ হাসিনাকে দিলাম। তিনি ক্ষমতায় না থাকলে বাঙালিরা এই মেট্রোরেল কখনো পেত না। শুভকামনা ও অভিনন্দন প্রধানমন্ত্রীকে।,"As a human being, I gave this achievement to the Honorable Prime Minister of the Government of Bangladesh, the leader of the people of Bangladesh, Sheikh Hasina. If he was not in power, the Bengalis would never get this metrorail. Good luck and congratulations to the Prime Minister.","As a human being, I gave this achievement to the Honorable Prime Minister of the Government of Bangladesh, the leader of the people of Bangladesh, Sheikh Hasina. If he was not in power, the Bengalis would never get this metrorail. Good luck and congratulations to the Prime Minister."
একজন স্বাপ্নিক মানুষের প্রচণ্ড ইচ্ছা শক্তি এবং দৃঢ় নেতৃত্বে এগিয়ে যাচ্ছে আমার সোনার বাংলা।,My golden Bangla is moving forward under the power of a dreamy man and strong leadership.,My golden Bangla is moving forward under the power of a dreamy man and strong leadership.
একটা নতুন পরিকল্পিত বাস টার্মিনাল বানিয়ে তারপর স্থানান্তর করা হোক এইরকম না করলে জনগণেরই দুর্ভোগ বাড়বে। নতুন টার্মিনাল করে স্থানাতর করলে জনগণের ভোগান্তি হবে না,"If a new planned bus terminal is then transferred, then the misery of the people will increase. If the new terminal is transferred to the people will not suffer","If a new planned bus terminal is then transferred, then the misery of the people will increase. If the new terminal is transferred to the people will not suffer"
একদিকে উন্নতি আরেক দিকে অবনতি,Improvement,Improvement
একপ্রকার সরকারি স্থাপনা তৈরি করে জনগনকে ভোগান্তি দেওয়ার নামই উন্নয়ন।,Development is the name of the people to suffer by creating a kind of government establishment.,Development is the name of the people to suffer by creating a kind of government establishment.
একমাত্র বাংলাদেশি সম্ভব। আমি অবাক হয়ে গেলাম আমি একজন প্রবাসী কখনো দেখি নাই এরকম এই দেশের মানুষ কখনোই মানুষ হবে না এভাবে বাচার থেকে সবাইকে ধ্বংস করে দেক।,The only Bangladeshi is possible. I was surprised that I never saw an expatriate that the people of this country would never be human.,The only Bangladeshi is possible. I was surprised that I never saw an expatriate that the people of this country would never be human.
এখন আবার শুনছি আগামী জুনে??!!! জুনে যদি কাজ শুরু হয় তবে শেষ হবে কবে??😢😢,"Listen again now in June ?? !!! If work starts in June, when will it end ?? 😢😢","Listen again now in June ?? !!! If work starts in June, when will it end ?? crying facecrying face"
এখন টিভিকে ধন্যবাদ নিউজের মধ্যে এড না দেওয়ার জন্য ❤❤🎉🎉🎉🎉🎉🎉😊,Now thanks to TV for not adding in the news,Now thanks to TV for not adding in the news
এখন থেকে নিউজ দেখার চেয়ে কাটুন দেখা হাজারগুনে ভালো। ২ মিনিটের ভিডিওতে। নগদের এডভেরেস। যেটা খুব বিরক্ত জনক। 😭😭😭😭।টেক নিউজ দেখব।,"From now on, it is better to watch the news than to watch the news. In 2 minutes of video. Adverses of cash. That is very upset. 😭😭😭😭. Watch the news.","From now on, it is better to watch the news than to watch the news. In 2 minutes of video. Adverses of cash. That is very upset. loudly crying faceloudly crying faceloudly crying faceloudly crying face. Watch the news."
এখন দেখতে সুন্দর লাগছে কিন্তু পরে এইখানে ময়লা আবর্জনা দিয়ে ভর্তি হয়ে যাবে,It is nice to see now but will be filled with garbage here later,It is nice to see now but will be filled with garbage here later
এখনই বাটপারি চিটারি শুরু হয়ে গেছে অসাধারণ!!!!!এদেরকে স্টেশন এর উপর থেকে কুটুস করে নিচে ফেলে দেওয়া উচিত,Batpari chitari has begun now awesome !!!!! They should be thrown down from the station on top of the station,Batpari chitari has begun now awesome !!!!! They should be thrown down from the station on top of the station
এখনও শুরু হয় নাই।,It has not started yet.,It has not started yet.
এখনি এত চাহিদা হলে মতিঝিল পর্যন্ত চালু হলে মেট্রোতে জায়গা না পাওয়ার মত অবস্থা হয়ে যাবে।,"If there is so much demand now, if Motijheel is launched, it will become a situation like not getting a space in the metro.","If there is so much demand now, if Motijheel is launched, it will become a situation like not getting a space in the metro."
এখনি এত চাহিদা হলে মতিঝিল পর্যন্ত চালু হলে মেট্রোতে জায়গা না পাওয়ার মত অবস্থা হয়ে যাবে।,"If there is so much demand now, if Motijheel is launched, it will become a situation like not getting a space in the metro.","If there is so much demand now, if Motijheel is launched, it will become a situation like not getting a space in the metro."
এখানে কি স্টুডেন্টদের ভারা চলে।,Here are the students who are afraid of the students?,Here are the students who are afraid of the students?
এগিয়ে চলো বাংলাদেশ !!!,Go ahead Bangladesh !!!,Go ahead Bangladesh !!!
এগিয়ে যাও বাংলাদেশ,Go ahead Bangladesh,Go ahead Bangladesh
এগিয়ে যাও বাংলাদেশ আমরা আছি তোমাদের সাথে,Go ahead Bangladesh We are with you,Go ahead Bangladesh We are with you
এগিয়ে যাক আমাদের বাংলাদেশ,Let our Bangladesh ahead,Let our Bangladesh ahead
এগিয়ে যাক আমার দেশ।,Let my country ahead.,Let my country ahead.
এগিয়ে যাক আমার দেশ🇧🇩🇧🇩🇧🇩,Let my country forward,Let my country forward
এগিয়ে যাক দেশ এবং সর্বপরি মানুষের মানসিকতার,Let the country and above all the people's mentality,Let the country and above all the people's mentality
এগিয়ে যাক বাংলাদেশ,Let Bangladesh ahead,Let Bangladesh ahead
এগুলাই হচ্ছে দেশের উন্নয়ন,These are the development of the country,These are the development of the country
এগুলো অন্যায় এগুলোর প্রতিবাদ করা উচিত এদেরকে আইনের আওতায় এনে ব্যবস্থা নেওয়া উচিত আইন না পারলে সাধারণ জনগনের কাছে ছেড়ে দিন। জনগন ব্যবস্থা নিলে পরবর্তীতে এমনটা আর হবে না।,"They should protest against them, they should be brought under the law and then leave it to the general public if the law does not go. This will not happen again if the public arrangements are taken.","They should protest against them, they should be brought under the law and then leave it to the general public if the law does not go. This will not happen again if the public arrangements are taken."
এগুলো যদি দেশীয় ইন্জিনিয়ারিং ও দেশীয় প্রযুক্তিতে নির্মাণ করা গেলে খরচ কমে যাইত।,"If they were constructed in domestic engineering and domestic technology, the cost would have been reduced.","If they were constructed in domestic engineering and domestic technology, the cost would have been reduced."
এজন্য জাপানের নীতি নির্ধারকরা বাংলাদেশের বিভিন্ন প্রকল্পের নির্মাণ কাজের গতি দেখে সমালোচনা করে।,"For this reason, the policy makers of Japan criticized the construction work of various projects in Bangladesh.","For this reason, the policy makers of Japan criticized the construction work of various projects in Bangladesh."
এজন্য সদরঘাটের সাথে রাজধানীর বাকি অংশের যোগাযোগ সহজ ও নির্বিঘ্ন করতে হবে। এতে বর্তমান কর্মীরা কাজ তো হারাবেনই না,"For this, the rest of the capital with Sadarghat should be easy and seamless. The current staff will not lose work","For this, the rest of the capital with Sadarghat should be easy and seamless. The current staff will not lose work"
এটা আসলে মোটেও ঠিক কাজ করতেছে না তারা।,They are not really working at all.,They are not really working at all.
এটা একটা দারুন সুখবর।,This is a great news.,This is a great news.
এটা কোন কথা,It's no word,It's no word
এটা কোন কথা মানুষের কষ্ট হচ্ছে এর এরকম জবাবের কোন মানে হয় না।,It does not make sense to answer what people are suffering.,It does not make sense to answer what people are suffering.
এটা কোন গতি হলো। গতি দেখতে হলে জাপান প্রযক্তি দেখ। এটা আমার কাছে সাধারন ট্রেনের মতই লাগছে,It is no speed. Look at Japan to see the speed. It looks like a normal train to me,It is no speed. Look at Japan to see the speed. It looks like a normal train to me
এটা প্রতিবেদন করার কোনো মানে নেই মেট্রো রেলে টাকা দিয়ে টয়লেট করে কেনো সেটা নিয়ে প্রতিবেদন করুন,Reporting it does not mean to report why to toilet with the Metro Rail.,Reporting it does not mean to report why to toilet with the Metro Rail.
এটা মূর্খতা,It is foolishness,It is foolishness
এটা হবে শুক্রবার!,It will be Friday!,It will be Friday!
এটাই আমার সোনার বাংলাদেশ,This is my gold Bangladesh,This is my gold Bangladesh
এটাই ভালো এসির জন্য অনেক পাবলিক স্টেশন এরিয়াতে হুদাই হুদাই সময় কাটানোর ধান্দা করতে পারে। বাঙ্গালির জন্য এটাই ভালো।,"This is the good AC for many public stations in the area, Hudai Hudai can spend time. That's good for Bengalis.","This is the good AC for many public stations in the area, Hudai Hudai can spend time. That's good for Bengalis."
এটাই সোনার বাংলা,This is golden Bangla,This is golden Bangla
এটাতো জনগণের উপরে জুলুম করা হচ্ছে😢😢😢,It is being oppressed over the people,It is being oppressed over the people
এটার জন্যই বসে আছি।।। প্রতিদিন মতিঝিল থেকে ফার্মগেট যেতে হয়।। এই জ্যাম আর সহ্য হয় না। এক ঘন্টায় বেশি লেগে যায় বাস এ😢,I'm sitting for this. Every day you have to go from Motijheel to Farmgate. This jam is no longer tolerated. It takes more than an hour to bus,I'm sitting for this. Every day you have to go from Motijheel to Farmgate. This jam is no longer tolerated. It takes more than an hour to bus
এত জায়গা থাকতে গাবতলির দিকে নজর কেন?,Why not look at Gabtali with so many places?,Why not look at Gabtali with so many places?
এত বড় বড় মেগা প্রকল্প টাকা কই? ঋণ নিতে নিতে তো আর জায়গা নেই।,Where is such a big mega project money? There is no place to take the loan.,Where is such a big mega project money? There is no place to take the loan.
এত ভাড়া দিয়ে কে জাবে,So much,So much
এত সুন্দর উপস্থাপন করার জন্য দাদা তোমাদেরকে অনেক অনেক ধন্যবাদ। দোয়া করি তোমরা ভালো ভাবে  উপভোগ কর।,Thank you so much for presenting so beautiful. May you enjoy it well.,Thank you so much for presenting so beautiful. May you enjoy it well.
এত সুন্দর ম্যানেজমেন্ট এর মধ্যে দিয়ে বাংলাদেশের মেট্রোরেল চলিতেছে। এত সুন্দর এত ভালো লাগলো সত্যিই গর্বে বুকটা ভরে গেল ধন্যবাদ জানাই মাননীয় প্রধানমন্ত্রী শেখ হাসিনাকে এত সুন্দর একটা যোগাযোগ ব্যবস্থা আমাদেরকে উপহার দিয়েছেন সেলুট জানাই মাননীয় প্রধানমন্ত্রী শেখ হাসিনাকে শেখ হাসিনার সরকার আমাদের খুবই প্রয়োজন,"Bangladesh's Metrorail is running through such a beautiful management. It was so good that the chest was filled with pride, thank you Honorable Prime Minister Sheikh Hasina has given us such a beautiful communication system to give us Selut, the Prime Minister Sheikh Hasina's government needs Sheikh Hasina's government.","Bangladesh's Metrorail is running through such a beautiful management. It was so good that the chest was filled with pride, thank you Honorable Prime Minister Sheikh Hasina has given us such a beautiful communication system to give us Selut, the Prime Minister Sheikh Hasina's government needs Sheikh Hasina's government."
এতক্ষন লাইনে দাঁড়িয়ে থাকলে তো মানুষ তার গন্তব্যে সময় মতো পৌঁছাতে পারবে না।,"If you stand in line so long, people will not be able to reach their destination in time.","If you stand in line so long, people will not be able to reach their destination in time."
এতটি বছর শুধু অপেক্ষায় আছি।শত জ্যাম পার করে প্রতিদিন আসি আর স্বপ্ন দেখি।কবে হবে আর কতদিন।,I am just waiting for so many years. Come through hundreds of jams every day and dream. Who will be and how long.,I am just waiting for so many years. Come through hundreds of jams every day and dream. Who will be and how long.
এতবার হর্ণ দাওয়ার কি দরকার শব্দ দূষণ না করলে কি ভালো লাগে না।😂,What does the horn need to do so many times do not feel good if you do not have any noise pollution?,What does the horn need to do so many times do not feel good if you do not have any noise pollution?
এতে করে বাস মালিক গুলোও একটু শায়েস্তা হবে,The bus owners will also be a little punished,The bus owners will also be a little punished
এতে কি আমার বাংলা ভাষাকে অবমাননা করা হয়নি 😡😡,Did my Bangla language do not insult it?,Did my Bangla language do not insult it?
এতো আগারগাও যাচ্ছি না,Not going to Agargao so much,Not going to Agargao so much
এতো এতো উন্নয়ন আমরা কল্পনাও করতে পারিনি। এরকম সরকারই বার বার দরকার।,We could not imagine such development. Such a government is needed again and again.,We could not imagine such development. Such a government is needed again and again.
এতো দাম নিত্য পন্যে উন্নয়ন দিয়ে কী হবে যদি পেটে ভাত না থাকে,What will happen with the development of such prices regularly if there is no rice in the stomach,What will happen with the development of such prices regularly if there is no rice in the stomach
এতো দাম নিত্য পন্যে উন্নয়ন দিয়ে কী হবে যদি পেটে ভাত না থাকে,What will happen with the development of such prices regularly if there is no rice in the stomach,What will happen with the development of such prices regularly if there is no rice in the stomach
এতো সুন্দর করে আমার প্রিয় বাংলা দেশ কে বিশ্বর বুকে তুলে ধরার জন্য অনেক অনেক ধন্যবাদ ❤️🇧🇩🇨🇮❤️,Many thanks for raising my beloved Bangla country in the world so beautifully.,Many thanks for raising my beloved Bangla country in the world so beautifully.
এত্তো নাটক না করে মেট্রো রেল কর্তৃপক্ষের কাছ থেকে সঠিক খবর টা নিন,Take the right news from the Metro Rail Authority without doing so.,Take the right news from the Metro Rail Authority without doing so.
এদের কে আইনের আওতায় আনা হোক,Be under the law,Be under the law
এদের বিরুদ্ধে সরকারের ব্যবস্থা নেওয়া উচিত,Government action should be taken against them,Government action should be taken against them
এদেরকে দ্রুত আইনের আওতায় নিয়ে আসা হোক না হলে তারা এ ধরনের কাজ চালাতে থাকবে।,"If they are brought under the law quickly, they will continue to do such work.","If they are brought under the law quickly, they will continue to do such work."
এপার বাংলা ওপার বাংলা সবই আমাদের বাংলা।🇧🇩ধন্যবাদ,Upper Bangla Upper Bangla is all our Bengali.,Upper Bangla Upper Bangla is all our Bengali.
এবং ভিডিওটা অনেকেরই দেখানোর সুযোগ,And the video is the opportunity to show many,And the video is the opportunity to show many
এবং ভিডিওটা অনেকেরই দেখানোর সুযোগ,And the video is the opportunity to show many,And the video is the opportunity to show many
এবং মানিকগঞ্জ পর্যন্ত রেল সম্প্রসারণ করা হউক।,And the rail to Manikganj should be expanded.,And the rail to Manikganj should be expanded.
এবার ট্রেনের চেয়ার টেবিল আর পার্চ পাতি ঠিক থাকলে হয়😄😄,This time the train chair table and the parch leaf are okay.,This time the train chair table and the parch leaf are okay.
এবার যাত্রী পাবে,This time the passenger will get,This time the passenger will get
এভাবে সবাই চিন্তা করলে কত ভালই না হতো,If everyone thought it would have been better,If everyone thought it would have been better
এভাবেই এগিয়ে যাচ্ছে বাংলাদেশ ❤️🇧🇩✌️,This is how Bangladesh is moving forward,This is how Bangladesh is moving forward
এভাবেই বাংলাদেশ এগিয়ে যাক,This is how Bangladesh let,This is how Bangladesh let
এমনি ওই গরিব দেশ এতো লিফ্ট দেওয়ার দরকার কি সুধু উঠার জন্য ঠিক আছে নামার      জন্য সিরি ওই সহজ উন্নত দেশ গুলোতে এরোকোমই ভাবেই চলে।,"That is how the poor country needs to give such a lift, whether it is okay to get up, Siri goes on in those simple developed countries.","That is how the poor country needs to give such a lift, whether it is okay to get up, Siri goes on in those simple developed countries."
এমনি মেট্রোরেলের ভাড়া ৬০ টাকা আবার টয়লেট ইউজ করলে ১০ টাকা  তার মানে দাড়ায় আপনাকে ৭০ টাকা খরচ করতে হবে এটাই মেট্রোরেলের কর্তৃপক্ষের চালাকি 😂😂😂😂😂😂😂😂😂😂,"If you use the toilet again, you will have to spend 5 rupees if you use the toilet again.","If you use the toilet again, you will have to spend 5 rupees if you use the toilet again."
এয়ারপোর্ট থেকে নবীনগর পর্যন্ত মেট্রো রেল টা দ্রুত করার জন্য অনুরোধ করিতেছি,I request to speed up the Metro Rail from the airport to Nabinagar,I request to speed up the Metro Rail from the airport to Nabinagar
এয়ারপোর্ট থেকে নবীনগর পর্যন্ত মেট্রো রেল টা দ্রুত করার জন্য অনুরোধ করিতেছি,I request to speed up the Metro Rail from the airport to Nabinagar,I request to speed up the Metro Rail from the airport to Nabinagar
এয়ারপোর্ট না মেট্রোস্টেশন।,Airport or Metrostation.,Airport or Metrostation.
এয়ারপোর্টে  নেমে মেট্রোরেলে উটতে কুন স্টেশনে যেতে হবে?  কার জানা থাকলে বলবেন। ধন্যবাদ,Need to go to the airport to go to the Metrorail Cun Station? If you know whom you will say. Thank you,Need to go to the airport to go to the Metrorail Cun Station? If you know whom you will say. Thank you
এরকম যদি প্রতিদিন হয় তাহলে সময় বাঁচবে না বরং সময় আরো বেশি যাবে । যেখানে বলতাছে যেতে 35 মিনিট লাগবে সেখানে যদি টিকিট কাটতেই 2 ঘন্টা লাগে তাহলে এই মেট্রোরেল দিয়া কি হবে 🤣। না আমি জানি যে এই দৃশ্যটা প্রতিদিন হবে না 🙂 যদি হতো তাহলে 🤣🤣🤣🤣,"If this happens every day, then time will not save time, but the time will go more. Where to go, it will take 35 minutes to go, if it takes 2 hours to cut the ticket, what will happen to this Metrorail? No I know that this scene won't happen every day 🙂 If it were","If this happens every day, then time will not save time, but the time will go more. Where to go, it will take 35 minutes to go, if it takes 2 hours to cut the ticket, what will happen to this Metrorail? No I know that this scene won't happen every day slightly smiling face If it were"
এলিভেটেড এক্সপ্রেস ওয়ে কুতবখালীর কি অবস্থা এটা নিয়ে ভিডিও কইরেন ।,The video of the Elevated Express Way Qutbakhali is the video.,The video of the Elevated Express Way Qutbakhali is the video.
এসব প্রোজেক্টের লাভ বেশি,The profit of these projects,The profit of these projects
ওয়াআলাইকুমুস সালাম ওয়া রহমাতুল্লহি ওয়া বারকাতুহ,Waalalakumus Salam Wa Rahmatullah Wa Barkatuh,Waalalakumus Salam Wa Rahmatullah Wa Barkatuh
ওয়াআলাইকুমুস সালাম ওয়া রহমাতুল্লহি ওয়া বারকাতুহ,Waalalakumus Salam Wa Rahmatullah Wa Barkatuh,Waalalakumus Salam Wa Rahmatullah Wa Barkatuh
ওয়াআলাইকুমুস সালাম ওয়া রহমাতুল্লহি ওয়া বারকাতুহ,Waalalakumus Salam Wa Rahmatullah Wa Barkatuh,Waalalakumus Salam Wa Rahmatullah Wa Barkatuh
ওয়ালাইকুমুস সালাম,Walaikumus Salam,Walaikumus Salam
ওয়ালাইকুমুসসালাম,Walaikumusalam,Walaikumusalam
ওয়াশ রুমে অবস্যই টাকা নেয়া উচিত এবং তার বদলে পরিপূর্ণ পরিষ্কার পরিচ্ছন্নতা নিশ্চিত করা উচিত।যারা টাকা না নেওয়ার পক্ষে তাদেরকে অন্যান্য সরকারি ফ্রি ওয়াশরুম চেক করার অনুরোধ রইলো।,The money should be taken in the wash room and instead ensures full cleanliness. Those who do not take the money are requested to check other government free washrooms.,The money should be taken in the wash room and instead ensures full cleanliness. Those who do not take the money are requested to check other government free washrooms.
ওরে বাবারে রাস্তায় দাড়িয়ে লাইনে গিয়ে ভিতরে ডুকতে হবে। বিদেশেও কি এমন হয়🤔,He has to stand on the street and go in line. What happens abroad,He has to stand on the street and go in line. What happens abroad
কচ্ছপ এর গতিতে কাজ হইছে দেখে না,The turtle does not see the work of the turtle,The turtle does not see the work of the turtle
কত মিনিট পর পর রেল আসে?,How many minutes after the rail?,How many minutes after the rail?
কত সময় লাগে মিরপুর ১০ থেকে উওরা যেতে?,How long does it take to go from Mirpur 3 to Uora?,How long does it take to go from Mirpur 3 to Uora?
কতদিন ঠিক থাকে সেটি হচ্ছে দেখার বিষয়। আমাদের সম্পদকে আমাদেরকেই ভালো রাখতে হবে। যেমনটা পরিষ্কার পরিচ্ছন্ন ঈমানের অঙ্গ,How long is it is a matter of view. We need to keep our wealth good. Such,How long is it is a matter of view. We need to keep our wealth good. Such
কথায় আছে না লাখ টাকার বাগান খায় এক টাকার ছাগলে সেরুপ দেখলাম কোটি টাকার মেট্রোরেলে ১০টাকায় টয়লেট 😅,There is no word in the garden of millions of goats in a goat and I saw a toilet at the metrorale of Tk.,There is no word in the garden of millions of goats in a goat and I saw a toilet at the metrorale of Tk.
কবে থেকে চলবে রাত ১১ টা পযন্ত,When will it run from 9pm,When will it run from 9pm
কবে থেকে রাত ৮ টা পর্যন্ত সেটা বলেছেন কি?,When did you say it from 9pm to 5pm?,When did you say it from 9pm to 5pm?
কয় হাত সরালেন,How many hands,How many hands
কয়টা থেকে কয়টা পর্যন্ত চলবে,From,From
কয়েকটা ফ্যান দিতে এদের এত কি সমস্যা হয়?,What is the problem with them to give a few fan?,What is the problem with them to give a few fan?
করব আমি খেলা।,I'll play,I'll play
করব সারা রাতি।,I'll do it all night.,I'll do it all night.
করার জন্য,In order to do,In order to do
করার জন্য,In order to do,In order to do
করে দেওয়ার জন্য,For,For
করে দেওয়ার জন্য .,To do it.,To do it.
কর্তৃপক্ষ কি করে বুঝি না,Authorities do not understand how,Authorities do not understand how
কর্তৃপক্ষের দৃষ্টি আকর্ষণ করছি। প্রকৃত ঘটনাটি জনসম্মুখে তুলে ধরুন। ধন্যবাদ।,I am catching the attention of the authorities. Put the real event in public. Thanks,I am catching the attention of the authorities. Put the real event in public. Thanks
